Catégorie	Sous-catégorie	Objet
Account Policies	Password Policy	
		1.1.1 (L1) Ensure 'Enforce password history' is set to '24 or more password(s)'
		1.1.2 (L1) Ensure 'Maximum password age' is set to '60 or fewer days, but not 0'
		1.1.3 (L1) Ensure 'Minimum password age' is set to '1 or more day(s)'
		1.1.4 (L1) Ensure 'Minimum password length' is set to '14 or more character(s)'
		1.1.5 (L1) Ensure 'Password must meet complexity requirements' is set to 'Enabled'
		1.1.6 (L1) Ensure 'Store passwords using reversible encryption' is set to 'Disabled'
	Account Lockout Policy	
		1.2.1 (L1) Ensure 'Account lockout duration' is set to '15 or more minute(s)'
		1.2.2 (L1) Ensure 'Account lockout threshold' is set to '10 or fewer invalid logon attempt(s), but not 0'
		1.2.3 (L1) Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)'
		
Local Policies	User Rights Assignement	
		2.2.1 (L1) Ensure 'Access Credential Manager as a trusted caller' is set to 'No One'
		2.2.4 (L1) Ensure 'Act as part of the operating system' is set to 'No One'
		2.2.6 (L1) Ensure 'Adjust memory quotas for a process' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE'
		2.2.7 (L1) Ensure 'Allow log on locally' is set to 'Administrators'
		2.2.10 (L1) Ensure 'Back up files and directories' is set to 'Administrators'
		2.2.11 (L1) Ensure 'Change the system time' is set to 'Administrators, LOCAL SERVICE'
		2.2.12 (L1) Ensure 'Change the time zone' is set to 'Administrators, LOCAL SERVICE'
		2.2.13 (L1) Ensure 'Create a pagefile' is set to 'Administrators'
		2.2.14 (L1) Ensure 'Create a token object' is set to 'No One'
		2.2.15 (L1) Ensure 'Create global objects' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE'
		2.2.16 (L1) Ensure 'Create permanent shared objects' is set to 'No One'
		2.2.19 (L1) Ensure 'Debug programs' is set to 'Administrators'
		2.2.22 (L1) Ensure 'Deny log on as a batch job' to include 'Guests'
		2.2.23 (L1) Ensure 'Deny log on as a service' to include 'Guests'
		2.2.24 (L1) Ensure 'Deny log on locally' to include 'Guests'
		2.2.29 (L1) Ensure 'Force shutdown from a remote system' is set to 'Administrators'
